Cat,Single measure core date,reviewed,Modality,no,Item,Description,ItemType,Required,Values,AMP_PD_item,conversion,Comment
3,0,,WBC counts,1,neutrophil_count,/microL,numeric,nullable,(y>=0) & (y<=100000),,,
3,0,,WBC counts,2,lymphocyte_count,/microL,numeric,nullable,(y>=0) & (y<=100000),,,
3,0,,WBC counts,3,eosinophil_count,/microL,numeric,nullable,(y>=0) & (y<=100000),,,
3,0,,WBC counts,4,basophil_count,/microL,numeric,nullable,(y>=0) & (y<=100000),,,
3,0,,WBC counts,5,monocyte_count,/microL,numeric,nullable,(y>=0) & (y<=100000),,,
3,0,,King's PD pain scale,1,king_01_joints_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,2,king_01_joints_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,3,king_02_deep_body_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,4,king_02_deep_body_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,5,king_03_orgain_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,6,king_03_orgain_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,7,king_04_dyskinetic_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,8,king_04_dyskinetic_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,9,king_05_offdystonia_specific_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,10,king_05_offdystonia_specific_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,11,king_06_offdystonia_general_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,12,king_06_offdystonia_general_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,13,king_07_leg_movement_night_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,14,king_07_leg_movement_night_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,15,king_08_turing_in_bed_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,16,king_08_turing_in_bed_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,17,king_09_chewing_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,18,king_09_chewing_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,19,king_10_grinding_teeth_night_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,20,king_10_grinding_teeth_night_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,21,king_11_burning_mouth_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,22,king_11_burning_mouth_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,23,king_12_burning_limbs_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,24,king_12_burning_limbs_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,25,king_13_lower_abs_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,26,king_13_lower_abs_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,27,king_14_shooting_limbs_severity,,integer,nullable,"y.isin([0,1,2,3])",,,
3,0,,King's PD pain scale,28,king_14_shooting_limbs_freq,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,King's PD pain scale,29,king_muscleskeletal,,integer,nullable,(y>=0) & (y<=12),,,
3,0,,King's PD pain scale,30,king_chronic,,integer,nullable,(y>=0) & (y<=24),,,
3,0,,King's PD pain scale,31,king_fluctuation_related,,integer,nullable,(y>=0) & (y<=36),,,
3,0,,King's PD pain scale,32,king_nocturnal,,integer,nullable,(y>=0) & (y<=24),,,
3,0,,King's PD pain scale,33,king_orofacial,,integer,nullable,(y>=0) & (y<=36),,,
3,0,,King's PD pain scale,34,king_discolouration,,integer,nullable,(y>=0) & (y<=24),,,
3,0,,King's PD pain scale,35,king_radicular,,integer,nullable,(y>=0) & (y<=12),,,
,0,,MMSE,1,mmse_01_year,MMSE 1,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,2,mmse_02_season,MMSE 2,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,3,mmse_03_date,MMSE 3,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,4,mmse_04_day,MMSE 4,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,5,mmse_05_month,MMSE 5,integer,nullable,"y.isin([0,1])",,"x[[mmse_01_year,mmse_02_season,mmse_03_date,mmse_04_day,mmse_05_month]].sum(axis=1)",
3,0,,MMSE,31,mmse_orientation_time,"x[[""mmse_01_year"",""mmse_02_season"",""mmse_03_date"",""mmse_04_day"",""mmse_05_month""]].sum(axis=1)",integer,nullable,(y>=0) & (y<=5),,,
,0,,MMSE,6,mmse_06_state,MMSE 6,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,7,mmse_07_county,MMSE 7,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,8,mmse_08_town,MMSE 8,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,9,mmse_09_hospital,MMSE 9,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,10,mmse_10_floor,MMSE 10,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,32,mmse_orientation_place,sum MMSE 6-10,integer,nullable,(y>=0) & (y<=5),,,
,0,,MMSE,11,mmse_11_immediate_recall_1,MMSE 11,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,12,mmse_12_immediate_recall_2,MMSE 12,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,13,mmse_13_immediate_recall_3,MMSE 13,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,33,mmse_immediate_recall,sum MMSE 11-13,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,14,mmse_14_serial7_1,MMSE 14,integer,nullable,(y>=0) & (y<=3),,,
,0,,MMSE,15,mmse_15_serial7_2,MMSE 15,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,16,mmse_16_serial7_3,MMSE 16,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,17,mmse_17_serial7_4,MMSE 17,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,18,mmse_18_serial7_5,MMSE 18,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,34,mmse_serial7,sum MMSE 14-18,integer,nullable,(y>=0) & (y<=5),,,
,0,,MMSE,19,mmse_19_delayed_recall_1,MMSE 19,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,20,mmse_20_delayed_recall_2,MMSE 20,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,21,mmse_21_delayed_recall_3,MMSE 21,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,35,mmse_delayed_recall,sum MMSE 19-21,integer,nullable,(y>=0) & (y<=3),,,
,0,,MMSE,22,mmse_22_naming_1,MMSE 22,integer,nullable,"y.isin([0,1])",,,
,0,,MMSE,23,mmse_23_naming_2,MMSE 23,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,36,mmse_naming,sum MMSE 22-23,integer,nullable,"y.isin([0,1, 2])",,,
3,0,,MMSE,24,mmse_24_repeating,MMSE 24,integer,nullable,"y.isin([0,1])",,,
del?,0,,MMSE,25,mmse_25_oral_command_1,MMSE 25,integer,nullable,"y.isin([0,1])",,,
del?,0,,MMSE,26,mmse_26_oral_command_2,MMSE 26,integer,nullable,"y.isin([0,1])",,,
del?,0,,MMSE,27,mmse_27_oral_command_3,MMSE 27,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,37,mmse_comprehension,sum MMSE 25-27,integer,nullable,(y>=0) & (y<=3),,,
3,0,,MMSE,28,mmse_28_reading,MMSE 28,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,29,mmse_29_writing,MMSE 29,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,30,mmse_30_drawing,MMSE 30,integer,nullable,"y.isin([0,1])",,,
3,0,,MMSE,38,mmse_total_score,Total,integer,nullable,(y>=0) & (y<=30),,,
3,0,,UPDRS Part I,1,code_upd101_intellectual_impairment,Mentation:Intellectual Impairment,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part I,2,code_upd102_thought_disorder,Mentation:Thought Disorder,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part I,3,code_upd103_depression,Mentation:Depression,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part I,4,code_upd104_motivation,Mentation:Motivation/Initiative,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,5,code_upd105_speech,Activities:Speech,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,6,code_upd106_salivation,Activities:Salivation,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,7,code_upd107_swallowing,Activities:Swallowing,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,8,code_upd108_handwriting,Activities:Handwriting,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,9,code_upd109_eating_tasks,Activities:Cut Food/Handle Utensil,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,10,code_upd110_dressing,Activities:Dressing,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,11,code_upd111_hygiene,Activities:Hygiene,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,12,code_upd112_bed,Activities:Turn Bed/Adj Clothes,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,13,code_upd113_falling,Activities:Falling,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,14,code_upd114_freezing_of_gait,Activities:Freezing When Walking,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,15,code_upd115_walking,Activities:Walking,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,16,code_upd116_tremor,Activities:Tremor,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part II,17,code_upd117_sensory_complaints,Activities:Sensory Complaints,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,18,code_upd118_speech,Motor:Speech,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,19,code_upd119_facial_expression,Motor:Facial Expression,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,20,code_upd120_rest_tremor,Motor:Tremor at Rest,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,21,code_upd120a_rest_tremor_right_upper_extremity,Motor:Action/Postural Hand Tremor,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,22,code_upd120b_rest_tremor_left_upper_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,23,code_upd120c_rest_tremor_right_lower_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,24,code_upd120d_rest_tremor_left_lower_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,25,code_upd120e_rest_tremor_lip_or_jaw,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,26,code_upd121_action_or_postural_tremor,Motor:Action/Postural Hand Tremor,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,27,code_upd121a_action_or_postural_tremor_right,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,28,code_upd121b_action_or_postural_tremor_left,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,29,code_upd122_rigidity,Motor:Rigidity,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,30,code_upd122a_rigidity_neck,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,31,code_upd122b_rigidity_rt_upper_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,32,code_upd122c_rigidity_left_upper_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,33,code_upd122d_rigidity_rt_upper_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,34,code_upd122e_rigidity_left_upper_extremity,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,35,code_upd123_finger_taps,Motor:Finger Taps,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,36,code_upd123a_right_finger_taps,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,37,code_upd123b_left_finger_taps,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,38,code_upd124_hand_movements,Motor:Hand Movements,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,39,code_upd124a_right_hand_movements,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,40,code_upd124b_left_hand_movements,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,41,code_upd125_pron_sup_movement,Motor:Rapid Alternating Hand Moves,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,42,code_upd125a_pron_sup_movement_right_hand,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,43,code_upd125b_pron_sup_movement_left_hand,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,44,code_upd126_leg_agility,Motor:Leg Agility,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,45,code_upd126a_right_leg_agility,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,46,code_upd126b_left_leg_agility,,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,47,code_upd127_arising_from_chair,Motor:Arising from Chair,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,48,code_upd128_posture,Motor:Posture,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,49,code_upd129_gait,Motor:Gait,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,50,code_upd130_postural_stability,Motor:Postural Stability,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part III,51,code_upd131_body_bradykinesia,Motor:Bradykinesia and Hypokinesia,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part IV,52,code_upd132_time_spent_with_dyskinesias,Complications:Dyskinesias Duration,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part IV,53,code_upd133_functional_impact_of_dyskinesias,Complications:Dyskinesias Disable,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part IV,54,code_upd134_painful_dyskinesias,Complications:Dyskinesias Painful,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part IV,55,code_upd135_early_morning_dystonia,Complications:Dyskinesias Dystonia,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS Part IV,56,code_upd136_predictable_off,Complications:Fluct Predictable,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS Part IV,57,code_upd137_unpredictable_off,Complications:Fluct Unpredictable,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS Part IV,58,code_upd138_sudden_off,Complications:Fluct Suddenly,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS Part IV,59,code_upd139_time_spent_in_the_off_state,Complications:Fluct Average,integer,nullable,"y.isin([0,1,2,3,4])",,,
3,0,,UPDRS Part IV,60,code_upd140_anorexia,Complications:Anorex Nausea Vomit,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS Part IV,61,code_upd141_sleep_disturbances,Complications:Insomnia Hypersomnol,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS Part IV,62,code_upd142_symptomatic_orthostasis,Complications:Symptom Orthostasis,integer,nullable,"y.isin([0,1])",,,
3,0,,UPDRS,63,updrs_part_i_summary_score,,integer,nullable,(y>=0) & (y<=16),,,
3,0,,UPDRS,64,updrs_part_ii_summary_score,,integer,nullable,(y>=0) & (y<=52),,,
3,0,,UPDRS,65,updrs_part_iii_summary_score,,integer,nullable,(y>=0) & (y<=136),,,
3,0,,UPDRS,66,updrs_part_iv_summary_score,,integer,nullable,(y>=0) & (y<=23),,,
2,0,,PD RFQ-U,1,pdrfuq_coffee,"In your lifetime, have you ever regularly drunk caffeinated coffee, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,2,pdrfuq_black_tea,"In your lifetime, have you ever regularly drunk hot or iced caffeinated black tea, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,3,pdrfuq_green_tea,"In your lifetime, have you ever regularly drunk caffeinated green tea, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,4,pdrfuq_caffeinated_soda,"In your lifetime, have you ever regularly drunk caffeinated soda, that is, at least once per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,5,pdrfuq_concussion,"Have you ever had a head injury or concussion? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Possibly"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,6,pdrfuq_ibuprofen,"Have you ever regularly taken ibuprofen-based non-aspirin medications, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,7,pdrfuq_aspirin,"Have you ever regularly taken aspirin, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,8,pdrfuq_other_anti_inflmmatory_med,"Have you ever regularly taken other anti-inflammatory medications for pain, inflammation, or swelling, that is, at least two pills per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,9,pdrfuq_smoke_100,"In your lifetime, have you smoked 100 or more cigarettes (5 packs)? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,10,pdrfuq_smoke_regularly,"In your lifetime, have you ever regularly smoked cigarettes,",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,11,pdrfuq_smokeless_tabacco,"Have you ever used smokeless tobacco such as chewing tobacco or snuff regularly, that is, at least once per day for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,12,pdrfuq_alcohol_100,"In your lifetime, have you drunk 100 or more alcoholic drinks (beer, wine, liquor, spirits)? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
2,0,,PD RFQ-U,13,pdrfuq_alcohol_regularly,"In your lifetime, have you ever regularly drunk alcohol, that is, at least one drink per week for 6 months or longer? {0:No, 1:Yes, 2:Possibly, -9:Don't Konw, -7:Refused}",string,nullable,"[""No"", ""Yes"", ""Don't Know"", ""Refused""]",,,
add,,,DAT_imaging,0,dat_low_dopmaine_reuptake,DAT dopamine re-uptake negative,string,nullable,"y.isin([0,1])",,,
4,0,,DAT_imaging,1,dat_sbr_caudate_right,SBR for right caudate,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,2,dat_sbr_caudate_left,SBR for left caudate,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,3,dat_sbr_caudate_mean,SBR mean for caudate,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,4,dat_sbr_putamen_right,SBR for right putamen,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,5,dat_sbr_putamen_left,SBR for left putamen,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,6,dat_sbr_putamen_mean,SBR mean for putamine,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,7,dat_sbr_striatum_mean_right,Mean SBR for right caudate and putamen,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,8,dat_sbr_striatum_mean_left,Mean SBR for left caudate and putamen,numeric,nullable,(y>0)&(y<10),,,
4,0,,DAT_imaging,9,dat_sbr_striatum_mean,Mean SBR,numeric,nullable,(y>0)&(y<10),,,
4,0,,MIBG_imaging,1,HM_ratio_early,,numeric,nullable,(y>0)&(y<10),,,
4,0,,MIBG_imaging,2,HM_ratio_delay,,numeric,nullable,(y>0)&(y<10),,,
added,1,,Pathology,1,path_year_death,year of death,numeric,nullable,(y>1920)&(y<2050),,,
added,1,,Pathology,2,path_brain_id,,string,nullable,,,,
added,1,,Pathology,3,path_PMI_month,Interval between death and autopsy start (month),numeric,nullable,(y>0)&(y<1200),,,
added,1,,Pathology,4,path_autopsy_dx,,string,nullable,"[""Idiopathic PD"", ""Alzheimer’s disease"", ""Frontotemporal dementia"", ""Corticobasal syndrome"", ""Dementia with Lewy bodies"", ""Dopa-responsive dystonia"", ""Essential tremor"", ""Hemiparkinson/hemiatrophy syndrome"", ""Juvenile autosomal recessive parkinsonism"", ""Motor neuron disease with parkinsonism"", ""Multiple system atrophy"", ""Neuroleptic-induced parkinsonism"", ""Normal pressure hydrocephalus"", ""Progressive supranuclear palsy"", ""Psychogenic parkinsonism"", ""Vascular parkinsonism"", ""No PD nor other neurological disorder"", ""Spinocerebellar Ataxia (SCA)"", ""Prodromal non-motor PD"", ""Prodromal motor PD"", ""Other neurological disorder""]",,,
added,1,,Pathology,5,path_braak_nft,,string,nullable,"[""0"", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""I/II"", ""III/IV"", ""IV/V"", ""V/VI""]",,,
added,1,,Pathology,6,path_braak_asyn,,string,nullable,"[""0"", ""I"", ""II"", ""III"", ""IV"", ""V"", ""VI"", ""I/II"", ""III/IV"", ""IV/V"", ""V/VI""]",,,
added,1,,Pathology,7,path_cerad,Semiquantitative assessment of neuritic plaques,string,nullable,"[""None"", ""Sparse"", ""Moderate"", ""Frequent""]",,,
added,1,,Pathology,8,path_thal,thal stage: Amyloid beta,string,nullable,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""1/2"", ""3"", ""4/5""]",,,
added,1,,Pathology,9,path_mckeith,,string,nullable,"[""Neocortical"", ""Limbic (transitional)"" ,""Brainstem"", ""Amygdala Predominant"", ""Olfactory bulb only""]",,,
added,1,,Pathology,10,path_sn_pigmentation,"sn_depigmentation (none, mild, moderate, severe, 0-3)",numeric,nullable,"y.isin([0,1,2,3])",,,
added,1,,Pathology,11,path_lb_stage,"Lewy Body Stage (brainstem predominant, brainstem and limbic, neocortical, limbic or amygdala predominant)",string,nullable,"[""Brainstem predominant"", ""Brainstem and limbic"", ""Neocortical"", ""Limbic or amygdala predominant""]",,,
added,1,,Pathology,12,path_infarcts,Cerebral infarcts (indicator for a large infarct or in study region),string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,1,availability_plasma,Plasma,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,2,availability_serum,Serum,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,3,availability_pbl,PBL (Peripheral blood lymphocytes),string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,4,availability_lcl,LCL (Lymphoblastoid cell lines),string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,5,availability_skin,Skin,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,6,availability_ips,iPS,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,7,availability_brain,Post-mortem brain,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,8,availability_csf,CSF,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,9,availability_dna,DNA,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,10,availability_rna,RNA,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,11,availability_methylation,Methylation data,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,12,availability_metabolomics,Metabolomics data,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,13,availability_proteomics,Proteomics data,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,14,availability_exome_seq,Exome sequence files,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,15,availability_wgs,Whole genome sequencing file,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,16,availability_rna_expression,RNA expression data,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,17,availability_mri,MRI,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,18,availability_spect,SPECT (e.g. DATSCAN),string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,19,availability_pet,PET,string,nullable,"['Yes"", ""No""]",,,
added,0,,Availability,20,availability_path_report,Pathology report,string,nullable,"['Yes"", ""No""]",,,
